Type,Trans Date,Post Date,Description,Amount,Kind,Expense
Sale,10/1/16,10/3/16,ICHIBAN KAN - SAN FRAN,-11.78,Foods,1
Sale,10/1/16,10/3/16,TARGET        00027664,-17.05,Groceries,1
Sale,10/1/16,10/3/16,NIJIYA MARKET #62,-42.71,Groceries,1
Sale,9/30/16,10/2/16,TARGET        00027664,-21.24,Groceries,1
Sale,9/30/16,10/2/16,DAISO BA09 MARKET,-13.17,Groceries,1
Sale,9/30/16,10/2/16,MARSHALLS #0274,-6.51,Clothing,1
Sale,9/30/16,10/2/16,TARGET        00027664,-18.93,Groceries,1
Sale,9/30/16,10/2/16,SUPERSHUTTLE EXECUCARSFO,-23.3,Auto,1
Return,9/28/16,9/30/16,ANTHROPOLOGIE.COM,76.07,Return,0
Sale,9/28/16,9/30/16,SAFEWAY STORE 00026062,-0.66,Groceries,1
Sale,9/27/16,9/29/16,SAFEWAY STORE 00026062,-3.88,Groceries,1
Sale,9/27/16,9/28/16,SQ *LINDA'S CATERING,-8.7,Foods,1
Sale,9/27/16,9/29/16,SAFEWAY STORE 00026062,-4.5,Groceries,1
Payment,9/26/16,9/26/16,Payment Thank You - Web,5,Payment,0
Return,9/25/16,9/26/16,TARGET        00027664,4.68,Return,0
Sale,9/25/16,9/26/16,TARGET        00027664,-8.43,Groceries,1
Sale,9/25/16,9/26/16,TARGET        00027664,-1.17,Groceries,1
Sale,9/25/16,9/27/16,SAN BRUNO SUPERMARKET,-11.5,Groceries,1
Sale,9/24/16,9/26/16,STARBUCKS STORE 02994,-7.1,Coffee,1
Sale,9/23/16,9/25/16,SAFEWAY STORE 00026062,-1.09,Groceries,1
Sale,9/23/16,9/25/16,SAFEWAY STORE 00026062,-3.25,Groceries,1
Sale,9/22/16,9/23/16,JET.COM,-6.35,Goods,1
Sale,9/22/16,9/23/16,SQ *LINDA'S CATERING,-19.58,Foods,1
Sale,9/22/16,9/23/16,JET.COM,-27.01,Goods,1
Sale,9/21/16,9/23/16,SAFEWAY STORE 00026062,-5,Groceries,1
Sale,9/20/16,9/20/16,TARGET.COM  *,-5,Groceries,1
Sale,9/20/16,9/22/16,SAFEWAY STORE 00026062,-5.74,Groceries,1
Sale,9/20/16,9/20/16,TARGET.COM  *,-7.59,Groceries,1
Return,9/19/16,9/21/16,ANTHROPOLOGIE.COM,108.7,Return,0
Sale,9/19/16,9/21/16,MARSHALLS #0274,-20.74,Clothing,1
Sale,9/19/16,9/20/16,TARGET        00027664,-9.41,Groceries,1
Sale,9/17/16,9/19/16,STARBUCKS STORE 02994,-6.9,Coffee,1
Sale,9/16/16,9/18/16,NIJIYA MARKET #62,-12.47,Groceries,1
Sale,9/16/16,9/18/16,SAN BRUNO SUPERMARKET,-12.65,Groceries,1
Sale,9/16/16,9/19/16,KIM HUONG VIETNAMESSE CUI,-23.54,Foods,1
Sale,9/15/16,9/18/16,SAFEWAY STORE 00026062,-8.49,Groceries,1
Sale,9/14/16,9/16/16,SAN BRUNO SUPERMARKET,-11.2,Groceries,1
Sale,9/13/16,9/14/16,SQ *LINDA'S CATERING,-8.7,Foods,1
Sale,9/12/16,9/13/16,ANTHROPOLOGIE.COM,-76.07,Clothing,1
Sale,9/10/16,9/12/16,SMARTNFINAL44611004462,-4.04,Foods,1
Sale,9/9/16,9/11/16,AIR CHINA   9997901089143,-524.44,Flight,1
Sale,9/9/16,9/11/16,SAFEWAY STORE 00026062,-4.78,Groceries,1
Sale,9/9/16,9/11/16,TARGET        00027664,-4.65,Groceries,1
Sale,9/9/16,9/11/16,COSTCO.COM  *ONLINE,-21.74,Groceries,1
Sale,9/8/16,9/11/16,WHOLEFDS SOM 10151,-12.5,Groceries,1
Sale,9/8/16,9/11/16,ANTHROPOLOGIE.COM,-108.7,Clothing,1
Sale,9/7/16,9/8/16,BRICK HOUSE CAFE,-16.86,Coffee,1
Sale,9/6/16,9/7/16,SQ *LINDA'S CATERING,-9.79,Foods,1
Sale,9/5/16,9/6/16,TENPAY*86DAIGOU,-29.53,Foods,1
Sale,9/4/16,9/6/16,STARBUCKS STORE 05404,-4.95,Coffee,1
Sale,9/4/16,9/6/16,SAN BRUNO SUPERMARKET,-10.53,Groceries,1
